地区,确诊,死亡,治愈
意大利,10149,631,1004
伊朗,9000,354,2959
韩国,7755,65,288
西班牙,2174,49,183
法国,1784,33,12
德国,1565,3,15
日本,1330,21,475
美国,1004,31,10
瑞士,613,3,3
荷兰,503,5,0
瑞典,464,0,0
英国,456,6,8
挪威,360,0,0
丹麦,340,0,0
比利时,314,1,0
奥地利,206,0,0
巴林,189,0,14
新加坡,178,0,96
马来西亚,149,0,24
澳大利亚,133,3,22
希腊,99,0,0
加拿大,93,1,4
冰岛,81,0,0
以色列,76,0,3
阿联酋,74,0,12
科威特,72,0,2
伊拉克,67,7,0
圣马力诺,62,2,0
印度,61,0,3
捷克,61,0,0
泰国,59,1,34
埃及,59,1,1
黎巴嫩,59,2,1
菲律宾,49,1,0
斯洛文尼亚,47,0,0
芬兰,40,0,1
越南,38,0,16
巴西,34,0,0
爱尔兰,34,0,0
印度尼西亚,34,1,0
罗马尼亚,31,0,6
巴勒斯坦,30,0,0
卡塔尔,24,0,0
格鲁吉亚,23,0,0
波兰,22,0,0
俄罗斯,20,0,3
阿尔及利亚,20,0,0
巴基斯坦,20,0,1
沙特阿拉伯,20,0,0
阿根廷,19,1,0
阿曼,18,0,9
葡萄牙,18,0,0
厄瓜多尔,17,0,0
克罗地亚,16,0,0
爱沙尼亚,13,0,0
阿塞拜疆,13,0,0
智利,13,0,0
匈牙利,13,0,0
南非,13,0,1
哥斯达黎加,13,0,0
白俄罗斯,12,0,3
塞尔维亚,12,0,0
秘鲁,11,0,0
文莱,11,0,0
拉脱维亚,8,0,0
巴拿马,8,1,0
阿富汗,7,0,0
北马其顿,7,0,0
墨西哥,7,0,1
波黑,7,0,0
斯洛伐克,7,0,0
马尔代夫,6,0,0
保加利亚,6,0,0
阿尔巴尼亚,6,0,0
新西兰,5,0,0
卢森堡,5,0,0
多米尼加,5,0,0
突尼斯,5,0,0
马耳他,5,0,0
法属圭亚那,5,0,0
塞内加尔,4,0,0
柬埔寨,3,0,1
立陶宛,3,0,0
摩洛哥,3,1,0
哥伦比亚,3,0,0
孟加拉国,3,0,0
斯里兰卡,2,0,1
尼日利亚,2,0,0
喀麦隆,2,0,0
圣马丁岛,2,0,0
马提尼克岛,2,0,0
塞浦路斯,2,0,0
布基纳法索,2,0,0
玻利维亚,2,0,0
洪都拉斯,2,0,0
尼泊尔,1,0,1
摩纳哥,1,0,0
亚美尼亚,1,0,0
安道尔,1,0,0
约旦,1,0,0
乌克兰,1,0,0
波斯尼亚,1,0,0
不丹,1,0,0
梵蒂冈,1,0,0
列支敦士登,1,0,0
直布罗陀,1,0,0
圣巴托洛谬岛,1,0,0
巴拉圭,1,0,0
摩尔多瓦,1,0,0
多哥共和国,1,0,0
法罗群岛,1,0,0
蒙古,1,0,0
刚果共和国,1,0,0
土耳其,1,0,0
牙买加,1,0,0
