地区,累计确诊,新增确诊,累计治愈,累计死亡
湖北省,67773,13,49130,3046
广东省,1356,0,1282,8
河南省,1273,0,1249,22
浙江省,1215,0,1207,1
湖南省,1018,0,995,4
安徽省,990,0,984,6
江西省,935,0,932,1
山东省,760,1,726,6
江苏省,631,0,627,-
重庆市,576,0,549,6
四川省,539,0,485,3
黑龙江省,482,1,435,13
北京市,435,6,326,8
上海市,344,2,320,3
河北省,318,0,307,6
福建省,296,0,295,1
广西壮族自治区,252,0,238,2
陕西省,245,0,232,1
云南省,174,0,170,2
海南省,168,0,159,6
贵州省,146,0,133,2
天津市,136,0,132,3
山西省,133,0,131,-
甘肃省,127,1,88,2
中国香港,126,5,65,3
辽宁省,125,0,111,1
吉林省,93,0,91,1
新疆维吾尔自治区,76,0,73,3
宁夏回族自治区,75,0,72,-
内蒙古自治区,75,0,71,1
中国台湾,48,2,17,1
青海省,18,0,18,-
中国澳门,10,0,10,-
西藏自治区,1,0,1,-
海外整体,40350,4714,5209,1221
意大利,10283,977,1004,631
伊朗,9000,881,2959,354
韩国,7755,242,288,65
西班牙,2128,491,183,47
法国,1784,372,12,33
德国,1565,385,18,3
美国,1004,255,10,31
钻石公主号邮轮,696,0,325,7
瑞士,645,139,3,3
日本,599,59,102,12
荷兰,503,56,-,5
挪威,400,133,-,-
英国,382,54,18,6
瑞典,355,95,-,-
丹麦,340,78,1,-
比利时,314,28,1,1
巴林,189,18,14,-
奥地利,182,51,4,-
新加坡,166,6,93,-
马来西亚,149,20,26,-
澳大利亚,133,24,21,4
加拿大,95,16,8,1
希腊,89,11,-,-
冰岛,81,12,-,-
以色列,76,25,3,-
阿联酋,74,15,7,-
科威特,72,4,2,-
伊拉克,71,4,6,7
印度,62,11,3,-
圣马力诺,62,11,-,2
捷克,61,23,-,-
黎巴嫩,59,11,1,2
泰国,59,3,34,1
埃及,59,11,12,1
菲律宾,49,16,2,1
芬兰,40,10,1,-
越南,35,1,16,-
印度尼西亚,34,8,2,1
斯洛文尼亚,34,3,-,-
巴西,34,4,-,-
爱尔兰,34,10,-,-
罗马尼亚,31,12,6,-
巴勒斯坦,30,5,-,-
葡萄牙,30,5,-,-
卡塔尔,24,6,-,-
格鲁吉亚,23,8,-,-
波兰,22,5,-,-
沙特阿拉伯,21,1,-,-
巴基斯坦,20,1,1,-
俄罗斯,20,0,3,-
阿尔及利亚,20,9,-,-
阿根廷,19,2,-,1
阿曼,18,2,9,-
厄瓜多尔,17,2,-,-
智利,17,4,-,-
克罗地亚,16,1,-,-
南非,13,4,-,-
爱沙尼亚,13,2,-,-
阿塞拜疆,13,2,3,-
哥斯达黎加,13,4,-,-
白俄罗斯,12,1,3,-
塞尔维亚,12,4,-,-
匈牙利,12,3,-,-
文莱,11,5,-,-
秘鲁,11,2,-,-
阿尔巴尼亚,10,8,-,-
巴拿马,8,7,-,1
拉脱维亚,8,2,-,-
斯洛伐克,7,2,-,-
波斯尼亚和黑塞哥维那,7,2,-,-
北马其顿,7,1,-,-
墨西哥,7,1,1,-
保加利亚,6,2,-,-
马尔代夫,6,2,-,-
摩洛哥,5,1,-,1
突尼斯,5,0,-,-
阿富汗,5,1,-,-
多米尼加共和国,5,0,-,-
卢森堡,5,0,-,-
法属圭亚那,5,0,-,-
新西兰,5,1,-,-
马耳他,4,1,-,-
塞内加尔,4,2,-,-
立陶宛,3,0,-,-
柬埔寨,3,1,1,-
哥伦比亚,3,2,-,-
孟加拉国,3,0,-,-
洪都拉斯,2,0,-,-
斯里兰卡,2,0,1,-
玻利维亚,2,2,-,-
巴拉圭,2,1,-,-
圣马丁岛,2,0,-,-
马提尼克,2,0,-,-
布基纳法索,2,2,-,-
塞浦路斯,2,2,-,-
尼日利亚,2,1,-,-
喀麦隆,2,1,-,-
牙买加,1,1,-,-
根西岛,1,0,-,-
土耳其,1,1,-,-
刚果,1,0,-,-
法罗群岛,1,0,-,-
圣巴泰勒米岛,1,0,-,-
蒙古,1,1,-,-
直布罗陀,1,0,-,-
安道尔,1,0,1,-
摩尔多瓦,1,1,-,-
多哥,1,1,-,-
列支敦士登,1,0,-,-
梵蒂冈,1,0,-,-
不丹,1,0,-,-
乌克兰,1,0,-,-
约旦,1,0,-,-
亚美尼亚,1,0,-,-
摩纳哥,1,1,-,-
尼泊尔,1,0,1,-
