地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡
湖北省,14409,67781,8,50316,3056
广东省,59,1356,3,1289,8
河南省,2,1273,1,1249,22
浙江省,5,1215,0,1209,1
湖南省,15,1018,0,999,4
安徽省,0,990,0,984,6
江西省,0,935,0,934,1
山东省,20,760,1,734,6
江苏省,2,631,0,629,-
重庆市,16,576,0,554,6
四川省,40,539,0,496,3
黑龙江省,29,482,0,440,13
北京市,93,435,0,334,8
上海市,20,344,0,321,3
河北省,4,318,0,308,6
福建省,0,296,0,295,1
广西壮族自治区,9,252,0,241,2
陕西省,11,245,0,232,2
云南省,2,174,0,170,2
海南省,2,168,0,160,6
贵州省,7,146,0,137,2
天津市,1,136,0,132,3
山西省,1,133,0,132,-
中国香港,51,129,9,75,3
甘肃省,37,127,2,88,2
辽宁省,12,125,0,112,1
吉林省,1,93,0,91,1
新疆维吾尔自治区,0,76,-,73,3
宁夏回族自治区,3,75,0,72,-
内蒙古自治区,3,75,0,71,1
中国台湾,31,49,1,17,1
青海省,0,18,0,18,-
中国澳门,0,10,0,10,-
西藏自治区,0,1,0,1,-
意大利,10631,12462,2313,1004,827
伊朗,6687,10075,958,2959,429
韩国,7515,7869,114,288,66
西班牙,2425,2671,491,183,63
法国,2221,2281,497,12,48
德国,2057,2078,43,18,3
美国,1263,1311,577,10,38
钻石公主号邮轮,364,696,0,325,7
日本,538,657,53,102,17
瑞士,638,645,139,3,4
挪威,629,629,133,-,-
丹麦,614,615,99,1,-
荷兰,498,503,56,-,5
瑞典,500,500,36,-,-
英国,434,460,78,18,8
比利时,395,399,28,1,3
卡塔尔,262,262,238,-,-
奥地利,241,246,64,4,1
巴林,160,195,6,35,-
新加坡,73,166,6,93,-
澳大利亚,131,159,22,24,4
马来西亚,123,149,20,26,-
以色列,97,100,3,3,-
加拿大,86,95,16,8,1
希腊,88,89,11,-,1
冰岛,81,81,12,-,-
科威特,75,80,8,5,-
阿联酋,67,74,15,7,-
印度,70,73,10,3,-
伊拉克,50,73,2,15,8
泰国,35,70,11,34,1
埃及,54,67,7,12,1
芬兰,64,65,25,1,-
圣马力诺,60,62,11,-,2
黎巴嫩,58,61,11,1,2
捷克,61,61,23,-,-
斯洛文尼亚,57,57,23,-,-
菲律宾,48,52,16,2,2
巴西,52,52,18,-,-
罗马尼亚,43,49,18,6,-
沙特阿拉伯,45,45,24,-,-
爱尔兰,42,43,9,-,1
越南,23,39,4,16,-
印度尼西亚,31,34,8,2,1
波兰,30,31,9,-,1
巴勒斯坦,30,30,5,-,-
葡萄牙,30,30,5,-,-
俄罗斯,25,28,8,3,-
智利,23,23,6,-,-
格鲁吉亚,23,23,8,-,-
哥斯达黎加,22,22,9,-,-
阿根廷,20,21,2,-,1
阿尔及利亚,19,20,9,-,1
巴基斯坦,19,20,1,1,-
塞尔维亚,19,19,7,-,-
阿曼,9,18,2,9,-
南非,17,17,4,-,-
厄瓜多尔,17,17,2,-,-
克罗地亚,16,16,1,-,-
阿塞拜疆,12,15,2,3,-
阿尔巴尼亚,15,15,5,-,-
爱沙尼亚,13,13,2,-,-
白俄罗斯,9,12,1,3,-
匈牙利,12,12,3,-,-
墨西哥,10,11,4,1,-
文莱,11,11,5,-,-
秘鲁,11,11,2,-,-
马尔代夫,8,8,2,-,-
巴拿马,7,8,7,-,1
拉脱维亚,8,8,2,-,-
突尼斯,7,7,2,-,-
斯洛伐克,7,7,2,-,-
波斯尼亚和黑塞哥维那,7,7,2,-,-
北马其顿,7,7,1,-,-
摩洛哥,4,6,1,-,2
塞浦路斯,6,6,4,-,-
保加利亚,6,6,2,-,-
柬埔寨,4,5,2,1,-
法属圭亚那,4,5,0,-,1
阿富汗,5,5,1,-,-
多米尼加共和国,5,5,0,-,-
卢森堡,5,5,0,-,-
新西兰,5,5,1,-,-
亚美尼亚,4,4,3,-,-
马耳他,4,4,1,-,-
塞内加尔,4,4,2,-,-
古巴,3,3,3,-,-
立陶宛,3,3,0,-,-
哥伦比亚,3,3,2,-,-
孟加拉国,3,3,0,-,-
摩纳哥,2,2,1,-,-
洪都拉斯,2,2,0,-,-
斯里兰卡,1,2,0,1,-
玻利维亚,2,2,2,-,-
巴拉圭,2,2,1,-,-
圣马丁岛,2,2,0,-,-
马提尼克,2,2,0,-,-
布基纳法索,2,2,2,-,-
尼日利亚,2,2,1,-,-
喀麦隆,2,2,1,-,-
科特迪瓦,1,1,1,-,-
牙买加,1,1,1,-,-
根西岛,1,1,0,-,-
土耳其,1,1,1,-,-
刚果,1,1,0,-,-
法罗群岛,1,1,0,-,-
圣巴泰勒米岛,1,1,0,-,-
蒙古,1,1,1,-,-
直布罗陀,1,1,0,-,-
安道尔,0,1,0,1,-
摩尔多瓦,1,1,1,-,-
多哥,1,1,1,-,-
列支敦士登,1,1,0,-,-
梵蒂冈,1,1,0,-,-
不丹,1,1,0,-,-
乌克兰,1,1,0,-,-
约旦,1,1,0,-,-
尼泊尔,0,1,0,1,-
