地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡
湖北省,8701,67799,1,55987,3111
广东省,47,1361,2,1306,8
河南省,1,1273,0,1250,22
浙江省,14,1231,-,1216,1
湖南省,0,1018,-,1014,4
安徽省,0,990,-,984,6
江西省,0,935,-,934,1
山东省,8,761,1,746,7
江苏省,0,631,-,631,-
重庆市,0,576,0,570,6
四川省,20,539,-,516,3
黑龙江省,13,482,0,456,13
北京市,84,452,6,360,8
上海市,27,355,-,325,3
河北省,2,318,0,310,6
福建省,0,296,-,295,1
广西壮族自治区,3,253,1,248,2
陕西省,10,245,-,233,2
云南省,1,175,1,172,2
海南省,1,168,-,161,6
中国香港,66,157,9,87,4
贵州省,0,146,-,144,2
天津市,0,136,0,133,3
甘肃省,40,133,-,91,2
山西省,0,133,0,133,-
辽宁省,5,125,0,119,1
吉林省,0,93,-,92,1
新疆维吾尔自治区,0,76,-,73,3
内蒙古自治区,1,75,0,73,1
宁夏回族自治区,0,75,-,75,-
中国台湾,46,67,8,20,1
青海省,0,18,-,18,-
中国澳门,1,11,1,10,-
西藏自治区,0,1,-,1,-
意大利,23467,27980,3042,2355,2158
伊朗,9142,14991,1209,4996,853
西班牙,8542,9407,1451,530,335
韩国,7024,8236,74,1137,75
法国,6473,6633,1210,12,148
德国,5941,6012,1174,58,13
美国,4465,4629,1130,74,90
瑞士,2199,2221,1061,4,18
英国,1490,1543,255,18,35
荷兰,1387,1413,278,2,24
挪威,1281,1285,57,1,3
比利时,1080,1085,224,1,4
瑞典,1036,1040,31,1,3
奥地利,1008,1018,145,8,2
丹麦,911,916,37,1,4
日本,650,835,17,157,28
钻石公主号邮轮,247,712,15,458,7
马来西亚,518,553,125,35,-
加拿大,390,405,92,11,4
卡塔尔,397,401,64,4,-
澳大利亚,342,375,50,27,6
以色列,340,344,55,4,-
葡萄牙,328,331,76,3,-
希腊,319,331,103,8,4
捷克,298,298,64,-,-
斯洛文尼亚,252,253,34,-,1
新加坡,138,243,17,105,-
芬兰,239,240,16,1,-
巴林,149,227,6,77,1
爱沙尼亚,204,205,26,1,-
巴西,199,200,55,1,-
巴基斯坦,182,184,131,2,-
冰岛,180,180,9,-,-
波兰,161,177,52,13,3
爱尔兰,168,169,40,-,1
罗马尼亚,149,158,39,9,-
智利,156,156,81,-,-
泰国,109,147,33,37,1
菲律宾,127,142,2,3,12
印度尼西亚,128,134,17,2,4
沙特阿拉伯,127,133,15,6,-
埃及,103,126,16,21,2
伊拉克,89,124,14,26,9
科威特,114,123,8,9,-
印度,102,117,17,13,2
黎巴嫩,105,109,6,1,3
圣马力诺,89,98,2,2,7
阿联酋,72,98,12,26,-
俄罗斯,85,93,4,8,-
卢森堡,80,81,33,-,1
秘鲁,71,71,43,-,-
南非,62,62,10,-,-
越南,45,61,1,16,-
斯洛伐克,61,61,17,-,-
阿尔及利亚,44,60,6,12,4
塞尔维亚,57,57,2,-,-
克罗地亚,55,57,11,2,-
哥伦比亚,53,54,21,1,-
文莱,54,54,10,-,-
墨西哥,52,53,12,1,-
保加利亚,51,51,10,-,-
土耳其,47,47,29,-,-
阿根廷,42,45,11,1,2
巴拿马,42,43,7,-,1
匈牙利,37,39,7,1,1
阿尔巴尼亚,38,38,5,-,-
摩洛哥,35,37,9,1,1
哥斯达黎加,35,35,8,-,-
巴勒斯坦,35,35,4,-,-
塞浦路斯,32,32,11,-,-
约旦,29,30,17,1,-
格鲁吉亚,30,30,5,-,-
斯里兰卡,28,29,10,1,-
亚美尼亚,28,28,8,-,-
白俄罗斯,24,27,15,3,-
拉脱维亚,26,26,9,-,-
阿塞拜疆,18,25,2,6,1
厄瓜多尔,22,23,3,-,1
阿富汗,21,21,5,-,-
塞内加尔,19,21,11,2,-
阿曼,12,21,1,9,-
马耳他,18,18,0,-,-
北马其顿,18,18,6,-,-
布基纳法索,15,15,8,-,-
马尔代夫,13,13,0,-,-
波斯尼亚和黑塞哥维那,13,13,2,-,-
突尼斯,13,13,6,-,-
柬埔寨,11,12,4,1,-
委内瑞拉,10,10,8,-,-
孟加拉国,6,8,2,2,-
哈萨克斯坦,8,8,2,-,-
摩尔多瓦,8,8,2,-,-
立陶宛,8,8,2,-,-
新西兰,8,8,2,-,-
乌克兰,5,7,2,-,2
乌兹别克斯坦,6,6,2,-,-
乌拉圭,6,6,2,-,-
加纳,6,6,4,-,-
埃塞俄比亚,5,5,3,-,-
喀麦隆,5,5,1,-,-
卢旺达,5,5,4,-,-
法属圭亚那,4,5,0,-,1
多米尼加共和国,5,5,0,-,-
科特迪瓦,4,4,3,-,-
古巴,4,4,1,-,-
列支敦士登,4,4,0,-,-
留尼汪岛,3,3,3,-,-
肯尼亚,3,3,2,-,-
刚果,3,3,1,-,-
塞舌尔,2,2,2,-,-
纳米比亚,2,2,2,-,-
泽西岛,2,2,2,-,-
波多黎各,2,2,2,-,-
危地马拉,1,2,1,-,1
洪都拉斯,2,2,0,-,-
圣马丁岛,2,2,0,-,-
马提尼克,2,2,0,-,-
巴拉圭,2,2,1,-,-
摩纳哥,2,2,1,-,-
尼日利亚,2,2,1,-,-
玻利维亚,2,2,2,-,-
安道尔,0,2,1,2,-
格陵兰岛,1,1,1,-,-
贝宁,1,1,1,-,-
坦桑尼亚,1,1,0,-,-
利比里亚,1,1,0,-,-
索马里,1,1,0,-,-
安提瓜和巴布达,1,1,1,-,-
直布罗陀,1,1,0,-,-
多哥,1,1,1,-,-
巴哈马,1,1,1,-,-
中非,1,1,0,-,-
赤道几内亚,1,1,1,-,-
斯威士兰,1,1,1,-,-
圣文森特岛,1,1,1,-,-
毛里塔尼亚,1,1,1,-,-
苏里南,1,1,1,-,-
苏丹,0,1,0,-,1
几内亚,1,1,1,-,-
特立尼达和多巴哥,1,1,1,-,-
加蓬,1,1,1,-,-
根西岛,1,1,0,-,-
牙买加,1,1,1,-,-
法罗群岛,1,1,0,-,-
圣巴泰勒米岛,1,1,0,-,-
蒙古,1,1,1,-,-
梵蒂冈,1,1,0,-,-
不丹,1,1,0,-,-
尼泊尔,0,1,0,1,-
刚果,1,1,1,-,-
圭亚那,1,1,1,-,-
