地区,确诊,死亡,治愈
意大利,27980,2158,2335
伊朗,14991,853,4996
西班牙,9191,309,530
韩国,8320,81,1401
法国,6633,148,33
德国,6230,14,58
美国,4442,77,10
瑞士,2220,13,3
日本,1549,35,693
英国,1543,55,18
荷兰,1413,24,0
挪威,1331,3,0
瑞典,1119,7,0
比利时,1058,5,0
奥地利,1016,3,6
丹麦,914,4,0
马来西亚,553,0,42
澳大利亚,449,6,27
卡塔尔,439,0,4
加拿大,405,4,4
希腊,352,4,0
捷克,344,0,3
以色列,298,0,4
芬兰,272,0,1
斯洛文尼亚,253,1,0
葡萄牙,245,0,0
新加坡,243,0,105
巴林,227,1,77
爱尔兰,223,2,0
爱沙尼亚,205,0,0
巴西,200,0,0
巴基斯坦,184,0,2
冰岛,180,0,0
泰国,177,1,41
波兰,177,3,13
埃及,166,2,26
智利,156,0,0
菲律宾,142,12,3
印度尼西亚,134,5,8
伊拉克,133,10,32
沙特阿拉伯,133,0,6
印度,125,3,13
科威特,123,0,9
罗马尼亚,123,0,6
黎巴嫩,109,3,1
阿联酋,98,0,26
圣马力诺,98,7,2
俄罗斯,93,0,8
墨西哥,82,0,1
卢森堡,81,1,0
秘鲁,71,0,0
南非,62,0,1
越南,61,0,16
斯洛伐克,61,0,0
阿尔及利亚,60,4,12
厄瓜多尔,58,1,0
克罗地亚,57,0,4
阿根廷,56,2,0
巴拿马,55,1,0
文莱,54,0,0
保加利亚,51,2,0
塞尔维亚,48,0,0
哥伦比亚,45,0,0
阿尔巴尼亚,42,1,0
哥斯达黎加,41,0,0
匈牙利,39,1,1
摩洛哥,37,3,2
巴勒斯坦,35,0,0
格鲁吉亚,33,0,1
委内瑞拉,33,0,0
塞浦路斯,32,0,0
约旦,30,0,1
拉脱维亚,30,0,0
白俄罗斯,27,0,3
塞内加尔,27,0,2
哈萨克斯坦,27,0,0
亚美尼亚,26,0,0
柬埔寨,24,0,1
波黑,24,0,0
斯里兰卡,23,0,1
阿塞拜疆,23,1,6
摩尔多瓦,23,0,0
阿富汗,22,0,0
阿曼,22,0,9
突尼斯,20,0,0
北马其顿,18,0,0
马耳他,18,0,0
土耳其,18,0,0
立陶宛,17,0,0
布基纳法索,15,0,0
马尔代夫,13,0,0
新西兰,11,0,0
玻利维亚,11,0,0
孟加拉国,8,0,2
摩纳哥,7,0,0
乌克兰,7,2,0
牙买加,7,0,0
巴拉圭,6,0,0
法属圭亚那,6,1,0
马提尼克岛,6,0,0
加纳,6,0,0
乌拉圭,6,0,0
乌兹别克斯坦,6,0,0
多米尼加,5,0,0
卢旺达,5,0,0
法属留尼汪岛,5,0,0
喀麦隆,4,0,0
列支敦士登,4,0,0
蒙古,4,0,0
科特迪瓦,4,0,0
古巴,4,0,0
埃塞俄比亚,4,0,0
法罗群岛,3,0,0
肯尼亚,3,0,0
危地马拉,3,1,0
波多黎各,3,0,0
刚果（金）,3,0,0
尼日利亚,2,0,0
安道尔,2,0,0
圣马丁岛,2,0,0
洪都拉斯,2,0,0
纳米比亚,2,0,0
塞舌尔,2,0,0
尼泊尔,1,0,1
波斯尼亚,1,0,0
不丹,1,0,0
梵蒂冈,1,0,0
直布罗陀,1,0,0
圣巴托洛谬岛,1,0,0
多哥共和国,1,0,0
圭亚那,1,0,0
加蓬,1,0,0
苏丹,1,1,0
斯威士兰,1,0,0
几内亚,1,0,0
毛里塔尼亚,1,0,0
赤道几内亚,1,0,0
特立尼达和多巴哥,1,0,0
安提瓜和巴布达,1,0,0
苏里南,1,0,0
刚果（布）,1,0,0
中非共和国,1,0,0
巴哈马,1,0,0
坦桑尼亚,1,0,0
