地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡
湖北省,7792,67800,1,56886,3122
广东省,49,1369,5,1312,8
河南省,1,1273,0,1250,22
浙江省,15,1232,0,1216,1
湖南省,0,1018,0,1014,4
安徽省,0,990,0,984,6
江西省,0,935,0,934,1
山东省,8,761,0,746,7
江苏省,0,631,0,631,-
重庆市,0,576,0,570,6
四川省,12,540,1,525,3
黑龙江省,6,482,0,463,13
北京市,83,469,3,378,8
上海市,32,361,3,326,3
河北省,2,318,0,310,6
福建省,0,296,0,295,1
广西壮族自治区,1,253,0,250,2
陕西省,6,246,0,237,3
云南省,2,176,0,172,2
海南省,1,168,0,161,6
中国香港,71,167,10,92,4
贵州省,0,146,0,144,2
天津市,0,136,0,133,3
甘肃省,40,133,-,91,2
山西省,0,133,0,133,-
辽宁省,2,125,0,122,1
中国台湾,77,100,10,22,1
吉林省,0,93,0,92,1
新疆维吾尔自治区,0,76,0,73,3
内蒙古自治区,1,75,0,73,1
宁夏回族自治区,0,75,0,75,-
青海省,0,18,0,18,-
中国澳门,4,14,2,10,-
西藏自治区,0,1,0,1,-
意大利,26062,31506,3526,2941,2503
伊朗,9792,16169,1178,5389,988
西班牙,10265,11826,1236,1028,533
德国,9166,9257,3245,67,24
韩国,6782,8413,93,1540,91
法国,6953,7730,1097,602,175
美国,6152,6331,1646,74,105
瑞士,2330,2353,69,4,19
英国,1826,1950,407,53,71
荷兰,1660,1705,292,2,43
挪威,1467,1471,57,1,3
奥地利,1320,1332,316,9,3
比利时,1232,1243,185,1,10
瑞典,1132,1140,96,1,7
丹麦,1002,1007,96,1,4
日本,682,882,45,171,29
钻石公主号邮轮,197,712,15,508,7
马来西亚,622,673,125,49,2
加拿大,576,595,159,11,8
澳大利亚,464,513,79,43,6
葡萄牙,444,448,76,3,1
卡塔尔,435,439,38,4,-
捷克,431,434,90,3,-
希腊,374,387,35,8,5
以色列,333,337,33,4,-
芬兰,284,294,29,10,-
爱尔兰,291,292,69,-,1
巴西,290,291,57,1,-
新加坡,152,266,17,114,-
斯洛文尼亚,252,253,34,-,1
波兰,220,238,61,13,5
巴林,155,237,6,81,1
爱沙尼亚,224,225,26,1,-
冰岛,220,220,40,-,-
泰国,169,212,35,42,1
智利,201,201,45,-,-
埃及,164,196,30,26,6
菲律宾,172,193,45,7,14
巴基斯坦,190,193,131,2,1
罗马尼亚,168,184,35,16,-
印度尼西亚,165,172,17,2,5
伊拉克,102,154,6,41,11
印度,131,147,23,13,3
沙特阿拉伯,127,133,15,6,-
科威特,118,130,7,12,-
黎巴嫩,116,120,11,1,3
俄罗斯,106,114,21,8,-
阿联酋,87,113,15,26,-
厄瓜多尔,109,111,53,-,2
圣马力诺,98,109,2,4,7
土耳其,97,98,51,-,1
斯洛伐克,97,97,25,-,-
卢森堡,93,94,4,-,1
墨西哥,92,93,11,1,-
巴拿马,85,86,15,-,1
秘鲁,86,86,15,-,-
南非,85,85,23,-,-
保加利亚,79,81,14,-,2
亚美尼亚,77,78,26,1,-
塞尔维亚,72,72,7,-,-
越南,51,67,5,16,-
克罗地亚,63,65,11,2,-
阿根廷,62,65,9,1,2
阿尔及利亚,44,60,6,12,4
哥伦比亚,56,57,12,1,-
文莱,56,56,10,-,-
阿尔巴尼亚,50,51,5,-,1
乌拉圭,50,50,21,-,-
匈牙利,47,50,11,2,1
拉脱维亚,49,49,15,-,-
塞浦路斯,46,46,11,-,-
摩洛哥,41,44,6,1,2
斯里兰卡,43,44,15,1,-
巴勒斯坦,41,41,2,-,-
哥斯达黎加,41,41,5,-,-
白俄罗斯,33,36,15,3,-
格鲁吉亚,35,35,2,-,-
阿曼,21,33,9,12,-
委内瑞拉,33,33,16,-,-
塞内加尔,29,31,4,2,-
北马其顿,31,31,5,-,-
摩尔多瓦,29,30,1,-,1
约旦,29,30,17,1,-
阿塞拜疆,21,28,3,6,1
哈萨克斯坦,27,27,3,-,-
波斯尼亚和黑塞哥维那,24,24,2,-,-
柬埔寨,23,24,4,1,-
立陶宛,22,22,5,-,-
阿富汗,22,22,5,-,-
多米尼加共和国,20,21,0,-,1
新西兰,20,20,9,-,-
布基纳法索,20,20,5,-,-
突尼斯,20,20,6,-,-
马耳他,18,18,0,-,-
马提尼克,15,15,0,-,-
安道尔,13,15,1,2,-
乌克兰,12,14,7,-,2
乌兹别克斯坦,13,13,2,-,-
马尔代夫,13,13,0,-,-
孟加拉国,6,8,2,2,-
加纳,7,7,1,-,-
卢旺达,7,7,2,-,-
科特迪瓦,5,6,2,1,-
蒙古,5,5,1,-,-
埃塞俄比亚,5,5,3,-,-
喀麦隆,5,5,1,-,-
法属圭亚那,4,5,0,-,1
塞舌尔,4,4,2,-,-
古巴,4,4,1,-,-
列支敦士登,4,4,0,-,-
吉尔吉斯斯坦,3,3,0,-,-
坦桑尼亚,3,3,0,-,-
赤道几内亚,3,3,2,-,-
加蓬,3,3,2,-,-
留尼汪岛,3,3,3,-,-
肯尼亚,3,3,2,-,-
刚果,3,3,1,-,-
巴巴多斯,2,2,2,-,-
黑山,2,2,2,-,-
利比里亚,2,2,0,-,-
纳米比亚,2,2,2,-,-
泽西岛,2,2,2,-,-
波多黎各,2,2,2,-,-
危地马拉,1,2,1,-,1
洪都拉斯,2,2,0,-,-
圣马丁岛,2,2,0,-,-
巴拉圭,2,2,1,-,-
摩纳哥,2,2,1,-,-
尼日利亚,2,2,1,-,-
玻利维亚,2,2,2,-,-
冈比亚,1,1,0,-,-
吉布提,1,1,0,-,-
格陵兰岛,1,1,1,-,-
贝宁,1,1,1,-,-
索马里,1,1,0,-,-
安提瓜和巴布达,1,1,1,-,-
直布罗陀,1,1,0,-,-
多哥,1,1,1,-,-
巴哈马,1,1,1,-,-
中非,1,1,0,-,-
