地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数,每10万人确诊
湖北省,1132,67802,0,63471,3199,-,-
广东省,132,1508,6,1368,8,-,-
河南省,3,1276,0,1251,22,-,-
浙江省,29,1258,1,1228,1,-,-
湖南省,1,1019,1,1014,4,-,-
安徽省,0,990,0,984,6,-,-
江西省,1,937,0,935,1,-,-
中国香港,644,802,51,154,4,-,-
山东省,15,775,1,753,7,-,-
江苏省,16,647,1,631,-,-,-
北京市,150,582,2,424,8,-,-
重庆市,3,579,0,570,6,-,-
四川省,14,554,2,537,3,-,-
上海市,173,522,6,343,6,-,-
黑龙江省,6,488,4,469,13,-,-
福建省,45,345,0,299,1,-,-
中国台湾,289,339,7,45,5,-,-
河北省,9,325,2,310,6,-,-
陕西省,10,255,0,242,3,-,-
广西壮族自治区,0,254,0,252,2,-,-
云南省,9,183,1,172,2,-,-
天津市,39,177,2,135,3,-,-
海南省,0,168,0,162,6,-,-
贵州省,1,147,0,144,2,-,-
辽宁省,14,140,0,124,2,-,-
甘肃省,9,138,0,127,2,-,-
山西省,4,137,0,133,-,-,-
内蒙古自治区,42,117,6,74,1,-,-
吉林省,5,98,0,92,1,-,-
新疆维吾尔自治区,0,76,0,73,3,-,-
宁夏回族自治区,0,75,0,75,-,-,-
中国澳门,31,41,0,10,-,-,-
青海省,0,18,0,18,-,-,-
西藏自治区,0,1,0,1,-,-,-
美国,202913,216722,24206,8672,5137,32910,66
意大利,80572,110574,4782,16847,13155,5920,187
西班牙,73492,110238,7719,26743,10003,4640,238
德国,58146,80060,6720,20928,986,8240,97
法国,42682,57780,4861,11055,4043,6550,88
伊朗,30597,50468,2987,16711,3160,8280,61
英国,30618,33718,4324,179,2921,6700,50
瑞士,13599,18117,963,4013,505,860,211
土耳其,15069,15679,2148,333,277,8300,19
比利时,11842,15348,1189,2495,1011,1160,132
荷兰,13098,14697,952,260,1339,1710,86
奥地利,8985,10892,568,1749,158,880,124
韩国,3979,9976,89,5828,169,5130,19
加拿大,8027,9731,1309,1592,112,3730,26
葡萄牙,8782,9034,808,43,209,1030,88
巴西,6537,6931,1151,150,244,21240,3
以色列,5889,6211,760,289,33,860,72
瑞典,5124,5466,512,103,239,1010,54
澳大利亚,4564,5108,301,520,24,2510,20
挪威,4820,4877,113,13,44,540,90
俄罗斯,3328,3548,440,190,30,14390,2
捷克,3408,3508,255,61,39,1060,33
爱尔兰,3357,3447,325,5,85,480,72
丹麦,2215,3290,45,971,104,580,57
马来西亚,2299,3116,142,767,50,3250,10
智利,2781,3031,293,234,16,1830,17
厄瓜多尔,2601,2748,274,54,93,1710,16
日本,2144,2720,282,505,71,12690,2
菲律宾,2475,2633,227,51,107,10810,2
波兰,2498,2554,96,13,43,3800,7
罗马尼亚,2116,2460,215,252,92,1950,13
卢森堡,2210,2319,141,80,29,60,387
巴基斯坦,2122,2238,73,85,31,20460,1
印度,1792,1998,386,148,58,136870,0
沙特阿拉伯,1536,1885,157,328,21,3410,6
泰国,1355,1875,120,505,15,6930,3
印度尼西亚,1539,1790,149,81,170,26950,1
芬兰,1423,1446,28,10,13,560,26
希腊,1313,1415,101,52,50,1110,13
南非,1325,1380,27,50,5,5810,2
墨西哥,1306,1378,121,35,37,13230,1
秘鲁,891,1323,115,394,38,3290,4
巴拿马,1276,1317,106,9,32,420,31
多米尼加共和国,1218,1284,208,9,57,1083.5,12
冰岛,993,1220,85,225,2,30,407
阿根廷,853,1133,88,248,32,4510,3
哥伦比亚,1009,1065,108,39,17,4980,2
塞尔维亚,990,1060,160,42,28,870,12
新加坡,752,1000,74,245,3,590,17
克罗地亚,884,963,96,73,6,410,23
阿尔及利亚,712,847,132,77,58,4270,2
斯洛文尼亚,816,841,39,10,15,210,40
卡塔尔,762,835,88,71,2,270,31
阿联酋,745,814,150,61,8,970,8
乌克兰,771,804,120,13,20,4380,2
爱沙尼亚,741,779,34,33,5,130,60
埃及,548,779,54,179,52,10120,1
伊拉克,488,728,34,182,58,4040,2
新西兰,630,723,61,92,1,480,15
钻石公主号邮轮,82,712,0,619,11,-,-
摩洛哥,608,676,64,29,39,290,2
亚美尼亚,626,663,39,33,4,160,23
巴林,290,635,2,341,4,970,40
匈牙利,522,585,33,42,21,290,6
立陶宛,566,581,4,7,8,610,20
黎巴嫩,435,494,7,43,16,3500,8
波斯尼亚和黑塞哥维那,427,459,13,19,13,700,1
保加利亚,414,449,20,25,10,190,6
拉脱维亚,445,446,48,1,-,550,23
斯洛伐克,418,426,37,7,1,1180,8
突尼斯,406,423,32,5,12,400,4
摩尔多瓦,395,423,70,23,5,7.3,11
安道尔,366,390,6,10,14,1860,537
哈萨克斯坦,351,380,36,26,3,500,2
哥斯达黎加,369,375,17,4,2,1000,8
阿塞拜疆,328,359,61,26,5,210,4
北马其顿,326,354,44,17,11,350,17
乌拉圭,286,350,18,62,2,420,10
科威特,261,342,28,81,-,120,8
塞浦路斯,283,320,32,28,9,1919,27
布基纳法索,220,282,15,46,16,1010,1
约旦,237,278,6,36,5,290,3
阿尔巴尼亚,194,277,16,67,16,2405,10
喀麦隆,255,271,40,10,6,82.7,1
留尼汪岛,246,247,40,1,-,3680,30
阿富汗,230,239,22,5,4,341.1,1
波多黎各,231,239,65,-,8,3.2,7
圣马力诺,197,236,6,13,26,500,738
阿曼,173,231,18,57,1,9740,5
越南,152,227,5,75,-,1122,0
古巴,194,212,16,12,6,1670,2
塞内加尔,139,195,15,55,1,2950,1
加纳,159,195,43,31,5,3280,1
乌兹别克斯坦,176,190,5,12,2,2490,1
科特迪瓦,180,190,11,9,1,40,1
马耳他,186,188,19,2,-,20100,47
尼日利亚,163,174,4,9,2,911,0
洪都拉斯,159,172,31,3,10,4.8,2
法罗群岛,169,169,1,-,-,940,348
白俄罗斯,108,163,11,53,2,126,2
毛里求斯,154,161,18,-,7,2100,13
斯里兰卡,122,146,1,21,3,3280,1
委内瑞拉,99,143,8,41,3,505.2,0
巴勒斯坦,115,134,17,18,1,40,3
文莱,76,133,2,56,1,390,33
格鲁吉亚,104,130,5,26,-,62.2,3
黑山,121,123,4,-,2,8130,20
刚果,109,123,11,3,11,38,0
马提尼克,117,119,8,-,2,640,31
吉尔吉斯斯坦,113,116,0,3,-,1121,2
玻利维亚,107,115,0,1,7,40,1
瓜德罗普岛,109,114,8,-,5,1650,29
柬埔寨,76,110,0,34,-,21.6,1
马约特岛,101,101,19,-,-,121.8,47
特立尼达和多巴哥,84,90,2,1,5,1200,7
卢旺达,82,82,5,-,-,5140,1
肯尼亚,77,81,22,3,1,2150,0
尼日尔,69,74,16,-,5,16.6,0
关岛,72,73,0,-,1,3.8,44
列支敦士登,72,72,6,-,-,705.3,190
巴拉圭,65,69,0,1,3,3.4,1
直布罗陀,55,69,4,14,-,9.8,201
泽西岛,61,63,0,-,2,6.5,64
根西岛,59,60,12,-,1,2520,92
马达加斯加,57,57,11,-,-,16470,0
孟加拉国,25,56,3,25,6,10.5,0
阿鲁巴岛,54,55,5,1,-,3.8,52
摩纳哥,52,55,3,2,1,8.5,144
马恩岛,52,52,10,-,-,29,61
法属圭亚那,40,46,3,6,-,284,16
牙买加,39,44,0,2,3,4430,2
乌干达,44,44,11,-,-,94,0
吉布提,38,40,5,2,-,1760,4
赞比亚,38,39,0,-,1,1658.2,0
危地马拉,26,39,2,12,1,28,0
法属波里尼西亚,37,37,1,-,-,425,13
多哥,24,36,2,10,2,28.1,1
巴巴多斯,34,34,1,-,-,642,12
