地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数（万）,每10万人确诊
湖北省,129,68128,0,63487,4512,-1,-1
广东省,93,1577,6,1476,8,-1,-1
河南省,0,1276,0,1254,22,-1,-1
浙江省,21,1268,0,1246,1,-1,-1
中国香港,484,1021,1,533,4,-1,-1
湖南省,1,1019,0,1014,4,-1,-1
安徽省,1,991,0,984,6,-1,-1
江西省,0,937,0,936,1,-1,-1
黑龙江省,388,872,11,471,13,-1,-1
山东省,19,787,3,761,7,-1,-1
江苏省,10,653,0,643,-1,-1,-1
上海市,109,628,0,512,7,-1,-1
北京市,76,593,0,509,8,-1,-1
重庆市,3,579,0,570,6,-1,-1
四川省,5,560,0,552,3,-1,-1
中国台湾,223,395,0,166,6,-1,-1
福建省,19,354,1,334,1,-1,-1
河北省,6,328,0,316,6,-1,-1
陕西省,1,256,0,252,3,-1,-1
广西壮族自治区,0,254,0,252,2,-1,-1
山西省,62,197,3,135,-1,-1,-1
内蒙古自治区,89,193,0,103,1,-1,-1
天津市,14,189,1,172,3,-1,-1
云南省,5,184,0,177,2,-1,-1
海南省,0,168,0,162,6,-1,-1
贵州省,1,147,0,144,2,-1,-1
辽宁省,4,146,1,140,2,-1,-1
甘肃省,0,139,0,137,2,-1,-1
吉林省,4,102,0,97,1,-1,-1
新疆维吾尔自治区,0,76,0,73,3,-1,-1
宁夏回族自治区,0,75,0,75,-1,-1,-1
中国澳门,29,45,0,16,-1,-1,-1
青海省,0,18,0,18,-1,-1,-1
西藏自治区,0,1,0,1,-1,-1,-1
美国,587217,679766,33878,57844,34705,32910,207
西班牙,93793,188068,5183,74797,19478,4640,405
意大利,106607,168941,3786,40164,22170,5920,285
法国,114295,165027,17164,32812,17920,6550,252
德国,42548,139597,3169,92863,4186,8240,169
英国,92198,108692,4617,1918,14576,6700,162
伊朗,20472,79494,1606,54064,4958,8280,96
土耳其,68146,78546,4801,8631,1769,8300,95
比利时,23014,36138,1236,7961,5163,1160,312
俄罗斯,29145,32008,3448,2590,273,14390,22
巴西,14913,30891,3331,14026,1952,21240,15
荷兰,26686,30449,1061,304,3459,1710,178
加拿大,19064,29929,1830,9674,1191,3730,80
瑞士,9863,27078,396,15900,1315,860,315
葡萄牙,17846,19022,750,519,657,1030,185
奥地利,4439,14553,130,9704,410,880,165
印度,11606,13835,826,1777,452,136870,1
爱尔兰,12708,13271,724,77,486,480,276
瑞典,11266,13216,613,550,1400,1010,131
以色列,9740,12855,391,2967,148,860,149
