地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊
美国,788469,960896,33198,118162,54265,5.6%,32910,292
西班牙,101837,223759,2944,98732,23190,10.4%,4640,482
意大利,105847,195351,2357,63120,26384,13.5%,5920,330
法国,93624,161644,1660,45372,22648,14%,6550,247
德国,32336,158167,1480,119850,5981,3.8%,8240,192
英国,126140,148377,4913,1918,20319,13.7%,6700,221
土耳其,79485,107773,2861,25582,2706,2.5%,8300,130
伊朗,15114,90481,1134,69657,5710,6.3%,8280,109
俄罗斯,73435,80949,5966,6767,747,0.9%,14390,56
巴西,26107,59324,1048,29160,4057,6.8%,21240,28
比利时,28255,46134,1034,10785,7094,15.4%,1160,398
加拿大,26464,45354,1570,16425,2465,5.4%,3730,122
荷兰,33048,37845,655,322,4475,11.8%,1710,221
瑞士,6301,28894,217,21000,1593,5.5%,860,336
印度,20152,26917,1440,5939,826,3.1%,136870,2
秘鲁,16834,25331,3683,7797,700,2.8%,3290,77
葡萄牙,21632,23864,595,1329,903,3.8%,1030,232
厄瓜多尔,20777,22719,0,1366,576,2.5%,1710,133
瑞典,15441,18640,610,1005,2194,11.8%,1010,185
爱尔兰,8265,18561,377,9233,1063,5.7%,480,387
沙特阿拉伯,14846,17522,1197,2537,139,0.8%,3410,51
以色列,8597,15398,266,6602,199,1.3%,860,179
奥地利,2401,15225,77,12282,542,3.6%,880,173
墨西哥,5388,13842,1239,7149,1305,9.4%,13230,10
新加坡,12610,13624,618,1002,12,0.1%,590,231
日本,10530,13438,467,2536,372,2.8%,12690,11
智利,5931,12858,552,6746,181,1.4%,1830,70
巴基斯坦,9588,12723,1072,2866,269,2.1%,20460,6
波兰,8604,11395,308,2265,526,4.6%,3800,30
罗马尼亚,7374,11036,218,3054,608,5.5%,1950,57
韩国,1769,10728,10,8717,242,2.3%,5130,21
白俄罗斯,8696,10463,817,1695,72,0.7%,940,111
阿联酋,8295,10349,532,1978,76,0.7%,970,107
卡塔尔,9265,10287,833,1012,10,0.1%,270,381
印度尼西亚,7032,8882,396,1107,743,8.4%,26950,3
丹麦,2367,8643,235,5858,418,4.8%,580,149
乌克兰,7568,8617,478,840,209,2.4%,4380,20
塞尔维亚,6476,7779,296,1152,151,1.9%,870,89
菲律宾,6216,7579,102,862,501,6.6%,10810,7
挪威,7266,7499,92,32,201,2.7%,540,139
捷克,4681,7352,85,2453,218,3%,1060,69
澳大利亚,1089,6711,20,5539,83,1.2%,2510,27
多米尼加共和国,4831,5926,177,822,273,4.6%,1083.5,55
马来西亚,1820,5780,51,3862,98,1.7%,3250,18
巴拿马,5041,5538,172,338,159,2.9%,420,132
孟加拉国,5149,5416,309,122,145,2.7%,16470,3
哥伦比亚,3842,5142,261,1067,233,4.5%,4980,10
芬兰,1890,4576,80,2500,186,4.1%,560,82
南非,2802,4361,267,1473,86,2%,5810,8
埃及,2898,4319,201,1114,307,7.1%,10120,4
摩洛哥,3330,4047,197,557,160,4%,3660,11
阿根廷,2565,3780,172,1030,185,4.9%,4510,8
卢森堡,538,3711,16,3088,85,2.3%,60,619
摩尔多瓦,2385,3304,194,825,94,2.8%,400,83
阿尔及利亚,1358,3256,129,1479,419,12.9%,4270,8
科威特,2252,3078,278,806,20,0.6%,420,73
泰国,277,2922,53,2594,51,1.7%,6930,4
哈萨克斯坦,1981,2652,188,646,25,0.9%,1860,14
巴林,1420,2588,371,1160,8,0.3%,160,162
希腊,1799,2506,16,577,130,5.2%,1110,23
匈牙利,1743,2500,60,485,272,10.9%,970,26
克罗地亚,872,2030,7,1103,55,2.7%,410,50
阿曼,1655,1998,115,333,10,0.5%,500,40
乌兹别克斯坦,1150,1865,58,707,8,0.4%,3280,6
冰岛,210,1790,1,1570,10,0.6%,30,597
伊拉克,453,1763,55,1224,86,4.9%,4040,4
亚美尼亚,885,1746,81,833,28,1.6%,290,60
阿塞拜疆,485,1645,25,1139,21,1.3%,1000,16
爱沙尼亚,1361,1643,30,233,49,3%,130,126
喀麦隆,779,1621,88,786,56,3.5%,2405,7
加纳,1384,1550,0,155,11,0.7%,2950,5
阿富汗,1278,1531,133,206,47,3.1%,3680,4
波斯尼亚和黑塞哥维那,833,1516,65,624,59,3.9%,350,43
新西兰,310,1470,5,1142,18,1.2%,480,31
立陶宛,930,1438,16,467,41,2.9%,290,50
波多黎各,1347,1416,0,-1,69,4.9%,341.1,42
斯洛文尼亚,1093,1396,15,221,82,5.9%,210,66
斯洛伐克,967,1379,13,394,18,1.3%,550,25
北马其顿,934,1367,41,374,59,4.3%,210,65
古巴,849,1337,50,437,51,3.8%,1122,12
保加利亚,1030,1290,63,205,55,4.3%,700,18
尼日利亚,925,1182,114,222,35,3%,20100,1
科特迪瓦,648,1111,73,449,14,1.3%,2490,4
吉布提,633,1008,9,373,2,0.2%,94,107
几内亚,781,996,92,208,7,0.7%,1270,8
突尼斯,694,939,4,207,38,4%,1180,8
玻利维亚,766,866,104,54,46,5.3%,1121,8
拉脱维亚,533,812,20,267,12,1.5%,190,43
塞浦路斯,648,810,9,148,14,1.7%,120,68
安道尔,354,738,8,344,40,5.4%,7.3,1017
阿尔巴尼亚,288,726,34,410,28,3.9%,290,25
钻石公主号邮轮,54,712,0,645,13,1.8%,-1,-1
黎巴嫩,538,707,8,145,24,3.4%,610,12
哥斯达黎加,445,693,1,242,6,0.9%,500,14
尼日尔,332,684,10,325,27,3.9%,2150,3
吉尔吉斯斯坦,304,682,9,370,8,1.2%,640,11
布基纳法索,146,629,13,442,41,6.5%,1919,3
洪都拉斯,503,627,29,65,59,9.4%,911,7
塞内加尔,331,614,69,276,7,1.1%,1670,4
乌拉圭,212,596,6,370,14,2.3%,350,17
圣马力诺,433,538,12,64,41,7.6%,3.2,1681
巴勒斯坦,399,495,4,92,4,0.8%,505.2,10
格鲁吉亚,340,485,25,139,6,1.2%,390,12
危地马拉,415,473,46,45,13,2.7%,1658.2,3
斯里兰卡,344,471,21,120,7,1.5%,2100,2
马耳他,195,448,1,249,4,0.9%,40,112
约旦,105,444,7,332,7,1.6%,1010,4
刚果,364,442,22,50,28,6.3%,8130,1
留尼汪岛,117,417,5,300,-1,0%,82.7,50
马约特岛,253,401,0,144,4,1%,21.6,186
索马里,364,390,62,8,18,4.6%,1518,3
马里,258,370,16,91,21,5.7%,1951.7,2
肯尼亚,231,343,7,98,14,4.1%,5140,1
毛里求斯,27,331,2,295,9,2.7%,126,26
委内瑞拉,181,323,7,132,10,3.1%,3280,1
黑山,161,321,1,153,7,2.2%,62.2,52
马恩岛,47,308,1,243,18,5.8%,8.5,364
牙买加,270,305,31,28,7,2.3%,284,11
坦桑尼亚,241,299,15,48,10,3.3%,5910,1
萨尔瓦多,207,298,13,83,8,2.7%,642,5
越南,45,270,0,225,-1,0%,9740,0
赤道几内亚,250,258,130,7,1,0.4%,130,20
泽西岛,233,245,0,-1,12,4.9%,9.8,250
巴拉圭,134,228,3,85,9,3.9%,705.3,3
苏丹,177,213,39,19,17,8%,4312,0
根西岛,203,209,0,-1,6,2.9%,6.5,320
刚果,175,200,14,19,6,3%,-1,-1
法罗群岛,9,187,0,178,-1,0%,4.8,386
卢旺达,95,183,22,88,-1,0%,1200,2
马尔代夫,160,177,21,17,-1,0%,44,40
加蓬,143,176,5,30,3,1.7%,203,9
马提尼克,84,175,0,77,14,8%,38,46
