地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比
美国,856551,1065739,26572,147473,61715,5.8%,32910,324,2.3895811391071864
西班牙,76842,239369,3980,137984,24543,10.3%,4640,516,5.6221325836287335
意大利,104657,203591,2086,71252,27682,13.6%,5920,344,2.573946969149628
法国,95815,169053,2512,49117,24121,14.3%,6550,258,2.036275444633307
英国,137206,165221,6873,1918,26097,15.8%,6700,247,0.07349503774380196
德国,26150,162387,1456,129662,6575,4%,8240,197,19.72045627376426
土耳其,70468,117589,2936,44040,3081,2.6%,8300,142,14.294060370009737
俄罗斯,93806,106498,5841,11619,1073,1%,14390,74,10.82851817334576
伊朗,13509,94640,1073,75103,6028,6.4%,8280,114,12.459024552090245
巴西,40040,79685,5263,34132,5513,6.9%,21240,38,6.191184473063668
加拿大,28274,51597,410,20327,2996,5.8%,3730,138,6.7847129506008015
比利时,29349,48519,525,11576,7594,15.7%,1160,418,1.5243613378983407
荷兰,34199,39316,362,322,4795,12.2%,1710,230,0.06715328467153285
秘鲁,22951,33931,2741,10037,943,2.8%,3290,103,10.643690349946977
印度,24094,33610,1813,8437,1079,3.2%,136870,2,7.819277108433735
瑞士,4749,29586,143,23100,1737,5.9%,860,344,13.298791018998273
葡萄牙,22537,25045,183,1519,989,3.9%,1030,243,1.5358948432760364
厄瓜多尔,22235,24675,417,1557,883,3.6%,1710,144,1.7633069082672708
沙特阿拉伯,19428,22753,1325,3163,162,0.7%,3410,67,19.52469135802469
瑞典,17501,21092,681,1005,2586,12.3%,1010,209,0.388631090487239
爱尔兰,5677,20253,376,13386,1190,5.9%,480,422,11.248739495798318
墨西哥,4644,17799,1223,11423,1732,9.7%,13230,13,6.5952655889145495
新加坡,14967,16169,690,1188,14,0.1%,590,274,84.85714285714286
巴基斯坦,11707,16117,1210,4052,358,2.2%,20460,8,11.318435754189943
以色列,7239,15870,193,8412,219,1.4%,860,185,38.41095890410959
奥地利,1961,15452,45,12907,584,3.8%,880,176,22.101027397260275
智利,6862,15135,520,8057,216,1.4%,1830,83,37.300925925925924
日本,10380,14300,228,3466,454,3.2%,12690,11,7.634361233480176
白俄罗斯,11552,14027,973,2386,89,0.6%,940,149,26.808988764044944
卡塔尔,12027,13409,643,1372,10,0.1%,270,497,137.2
波兰,9128,12781,326,3025,628,4.9%,3800,34,4.81687898089172
阿联酋,9947,12481,549,2429,105,0.8%,970,129,23.133333333333333
罗马尼亚,7528,12240,362,4017,695,5.7%,1950,63,5.779856115107914
韩国,1459,10765,4,9059,247,2.3%,5130,21,36.67611336032389
乌克兰,8907,10406,456,1238,261,2.5%,4380,24,4.743295019157088
印度尼西亚,7804,10118,260,1522,792,7.8%,26950,4,1.9217171717171717
丹麦,2355,9356,157,6558,443,4.7%,580,161,14.803611738148984
塞尔维亚,7487,9009,227,1343,179,2%,870,104,7.5027932960893855
菲律宾,6877,8488,254,1043,568,6.7%,10810,8,1.8362676056338028
挪威,7471,7710,20,32,207,2.7%,540,143,0.15458937198067632
孟加拉国,7339,7667,641,160,168,2.2%,16470,5,0.9523809523809523
捷克,4234,7581,55,3120,227,3%,1060,72,13.744493392070485
澳大利亚,947,6753,15,5715,91,1.3%,2510,27,62.8021978021978
多米尼加共和国,5131,6652,236,1228,293,4.4%,1083.5,61,4.191126279863481
巴拿马,5673,6378,179,527,178,2.8%,420,152,2.960674157303371
哥伦比亚,4522,6211,258,1411,278,4.5%,4980,12,5.075539568345324
马来西亚,1729,6002,94,4171,102,1.7%,3250,18,40.8921568627451
南非,3174,5350,203,2073,103,1.9%,5810,9,20.12621359223301
埃及,3553,5268,260,1335,380,7.2%,10120,5,3.513157894736842
芬兰,1984,4995,166,2800,211,4.2%,560,89,13.270142180094787
摩洛哥,3222,4359,43,969,168,3.9%,3660,12,5.767857142857143
阿根廷,2879,4285,124,1192,214,5%,4510,10,5.570093457943925
科威特,2459,4024,300,1539,26,0.6%,420,96,59.19230769230769
阿尔及利亚,1702,3848,199,1702,444,11.5%,4270,9,3.8333333333333335
摩尔多瓦,2473,3771,133,1182,116,3.1%,400,94,10.189655172413794
卢森堡,546,3769,28,3134,89,2.4%,60,628,35.21348314606742
哈萨克斯坦,2512,3356,86,819,25,0.7%,1860,18,32.76
巴林,1534,3037,86,1495,8,0.3%,160,190,186.875
泰国,213,2954,9,2687,54,1.8%,6930,4,49.75925925925926
匈牙利,1882,2775,78,581,312,11.2%,970,29,1.8621794871794872
希腊,1860,2576,10,577,139,5.4%,1110,23,4.151079136690647
阿曼,1842,2348,143,495,11,0.5%,500,47,45.0
阿富汗,1847,2171,111,260,64,2.9%,3680,6,4.0625
克罗地亚,659,2076,15,1348,69,3.3%,410,51,19.536231884057973
加纳,1845,2074,0,212,17,0.8%,2950,7,12.470588235294118
亚美尼亚,1105,2066,65,929,32,1.5%,290,71,29.03125
乌兹别克斯坦,912,2017,30,1096,9,0.4%,3280,6,121.77777777777777
伊拉克,565,2003,75,1346,92,4.6%,4040,5,14.630434782608695
喀麦隆,832,1806,101,915,59,3.3%,2405,8,15.508474576271187
阿塞拜疆,455,1804,49,1325,24,1.3%,1000,18,55.208333333333336
冰岛,131,1797,2,1656,10,0.6%,30,599,165.6
波斯尼亚和黑塞哥维那,961,1757,92,727,69,3.9%,350,50,10.53623188405797
尼日利亚,1370,1728,195,307,51,3%,20100,1,6.019607843137255
爱沙尼亚,1388,1689,6,249,52,3.1%,130,130,4.788461538461538
保加利亚,1157,1488,50,266,65,4.4%,700,21,4.092307692307692
新西兰,216,1476,2,1241,19,1.3%,480,31,65.3157894736842
古巴,792,1467,48,617,58,4%,1122,13,10.637931034482758
北马其顿,650,1465,21,738,77,5.3%,210,70,9.584415584415584
斯洛文尼亚,1105,1429,10,233,91,6.4%,210,68,2.5604395604395602
波多黎各,1339,1416,0,-1,77,5.4%,341.1,42,0.012987012987012988
斯洛伐克,849,1396,7,524,23,1.6%,550,25,22.782608695652176
立陶宛,751,1385,31,589,45,3.2%,290,48,13.088888888888889
几内亚,1031,1351,77,313,7,0.5%,1270,11,44.714285714285715
科特迪瓦,667,1238,19,557,14,1.1%,2490,5,39.785714285714285
玻利维亚,934,1110,39,117,59,5.3%,1121,10,1.9830508474576272
吉布提,476,1077,5,599,2,0.2%,94,115,299.5
突尼斯,646,980,8,294,40,4.1%,1180,8,7.35
塞内加尔,590,933,59,334,9,1%,1670,6,37.111111111111114
拉脱维亚,495,858,13,348,15,1.7%,190,45,23.2
塞浦路斯,680,843,15,148,15,1.8%,120,70,9.866666666666667
阿尔巴尼亚,272,773,16,470,31,4%,290,27,15.161290322580646
洪都拉斯,621,771,36,79,71,9.2%,911,8,1.1126760563380282
吉尔吉斯斯坦,276,746,21,462,8,1.1%,640,12,57.75
安道尔,304,743,0,398,41,5.5%,7.3,1024,9.707317073170731
黎巴嫩,551,725,4,150,24,3.3%,610,12,6.25
尼日尔,246,713,8,435,32,4.5%,2150,3,13.59375
哥斯达黎加,384,713,8,323,6,0.8%,500,14,53.833333333333336
钻石公主号邮轮,54,712,0,645,13,1.8%,-1,-1,49.61538461538461
斯里兰卡,507,653,26,139,7,1.1%,2100,3,19.857142857142858
布基纳法索,100,641,3,498,43,6.7%,1919,3,11.581395348837209
乌拉圭,203,630,5,412,15,2.4%,350,18,27.466666666666665
危地马拉,504,585,27,65,16,2.7%,1658.2,4,4.0625
索马里,534,582,48,20,28,4.8%,1518,4,0.7142857142857143
圣马力诺,450,569,10,78,41,7.2%,3.2,1778,1.9024390243902438
马约特岛,300,539,0,235,4,0.7%,21.6,250,58.75
格鲁吉亚,355,539,6,178,6,1.1%,390,14,29.666666666666668
刚果,404,500,20,65,31,6.2%,8130,1,2.096774193548387
马里,328,482,16,129,25,5.2%,1951.7,2,5.16
坦桑尼亚,297,480,181,167,16,3.3%,5910,1,10.4375
马耳他,110,465,5,351,4,0.9%,40,116,87.75
约旦,87,451,2,356,8,1.8%,1010,4,44.5
留尼汪岛,120,420,0,300,-1,0%,82.7,51,300.0
肯尼亚,235,396,10,144,17,4.3%,5140,1,8.470588235294118
牙买加,360,396,17,29,7,1.8%,284,14,4.142857142857143
萨尔瓦多,268,395,32,118,9,2.3%,642,6,13.11111111111111
苏丹,315,375,57,32,28,7.5%,4312,1,1.1428571428571428
巴勒斯坦,259,344,1,83,2,0.6%,505.2,7,41.5
毛里求斯,18,334,0,306,10,3%,126,27,30.6
委内瑞拉,179,331,0,142,10,3%,3280,1,14.2
黑山,108,322,1,207,7,2.2%,62.2,52,29.571428571428573
赤道几内亚,305,315,0,9,1,0.3%,130,24,9.0
马恩岛,34,313,4,258,21,6.7%,8.5,370,12.285714285714286
马尔代夫,283,301,33,17,1,0.3%,44,68,17.0
泽西岛,261,280,0,-1,19,6.8%,9.8,286,0.05263157894736842
加蓬,206,276,27,67,3,1.1%,203,14,22.333333333333332
越南,45,270,0,225,-1,0%,9740,0,225.0
巴拉圭,129,249,9,111,9,3.6%,705.3,4,12.333333333333334
卢旺达,127,225,5,98,-1,0%,1200,2,98.0
刚果,192,220,0,19,9,4.1%,-1,-1,2.111111111111111
根西岛,203,209,0,-1,6,2.9%,6.5,320,0.16666666666666666
几内亚比绍,185,205,132,19,1,0.5%,160,13,19.0
法罗群岛,6,187,0,181,-1,0%,4.8,386,181.0
马提尼克,81,178,0,83,14,7.9%,38,47,5.928571428571429
瓜德罗普岛,44,151,0,95,12,7.9%,40,38,7.916666666666667
缅甸,117,150,1,27,6,4%,5288.5,0,4.5
利比里亚,80,141,8,45,16,11.3%,470,3,2.8125
直布罗陀,9,141,0,131,1,0.7%,3.4,410,131.0
关岛,39,141,0,97,5,3.5%,16.6,85,19.4
文莱,13,138,0,124,1,0.7%,40,35,124.0
埃塞俄比亚,69,131,4,59,3,2.3%,10500,0,19.666666666666668
马达加斯加,38,128,0,90,-1,0%,2520,1,90.0
法属圭亚那,31,126,1,94,1,0.8%,29,43,94.0
塞拉利昂,96,124,0,21,7,5.6%,760,2,3.0
柬埔寨,3,122,0,119,-1,0%,1650,1,119.0
特立尼达和多巴哥,37,116,0,71,8,6.9%,121.8,10,8.875
佛得角,111,114,0,2,1,0.9%,54,21,2.0
百慕大群岛,57,111,0,48,6,5.4%,6.5,170,8.0
多哥,38,109,0,64,7,6.4%,425,3,9.142857142857142
阿鲁巴岛,25,100,0,73,2,2%,10.5,95,36.5
赞比亚,40,97,2,54,3,3.1%,1760,1,18.0
摩纳哥,33,95,0,58,4,4.2%,3.8,248,14.5
斯威士兰,80,91,6,10,1,1.1%,139,7,10.0
列支敦士登,26,82,0,55,1,1.2%,3.8,216,55.0
乌干达,29,81,0,52,-1,0%,4430,0,52.0
巴巴多斯,34,80,0,39,7,8.8%,28.1,28,5.571428571428571
巴哈马,46,80,0,23,11,13.8%,37.2,22,2.090909090909091
海地,61,76,0,8,7,9.2%,1200,1,1.1428571428571428
莫桑比克,64,76,0,12,-1,0%,3050,0,12.0
圣马丁岛,29,75,0,33,13,17.3%,3.1,242,2.5384615384615383
圭亚那,51,74,0,15,8,10.8%,73.8,10,1.875
开曼群岛,62,73,0,10,1,1.4%,6.4,114,10.0
贝宁,30,64,0,33,1,1.6%,1120,1,33.0
利比亚,41,61,0,18,2,3.3%,627.7,1,9.0
法属波里尼西亚,8,58,1,50,-1,0%,28,21,50.0
尼泊尔,41,57,3,16,-1,0%,2898,0,16.0
维尔京群岛,6,55,0,46,3,5.5%,10.8,51,15.333333333333334
乍得,31,52,6,19,2,3.8%,1490,0,9.5
