地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,879214,1099275,36471,156089,63972,5.8%,32910,334,0.027751583876868074,0.004661471522662782
西班牙,80180,242988,3261,137984,24824,10.2%,4640,524,0.6932516565410713,0.022437629896739756
意大利,101551,205463,1872,75945,27967,13.6%,5920,347,0.26740473900357886,0.03626289659715686
英国,143721,172481,7257,1918,26842,15.6%,6700,257,0.00497179828815448,0.9737467896592807
法国,92509,167299,758,50380,24410,14.6%,6550,255,0.22310350715391938,0.05237519222349968
德国,25878,163999,1535,131308,6813,4.2%,8240,199,7.447698533081087,0.020050097733940956
土耳其,68144,120204,2615,48886,3174,2.6%,8300,145,2.260216069369686,0.009527847476286815
俄罗斯,100042,114431,7099,13220,1169,1%,14390,80,1.1304063242967466,0.00883895027326042
伊朗,13237,95646,983,76318,6091,6.4%,8280,116,9.465614479157969,0.060293715862667664
巴西,45246,87187,7218,35935,6006,6.9%,21240,41,1.322367387875941,0.036939200161513974
加拿大,29102,54455,4404,22043,3310,6.1%,3730,146,2.2883364086022264,0.051598188735842286
比利时,29437,49032,660,11892,7703,15.7%,1160,423,0.5244468180871759,0.22004497201609563
荷兰,34576,39791,514,322,4893,12.3%,1710,233,0.019032941221643403,4.394855441321449
秘鲁,25520,36976,3045,10405,1051,2.8%,3290,112,3.879347628322332,0.03958038018254426
印度,24821,35043,3175,9068,1154,3.3%,136870,3,3.1658215282427378,0.05127138187676965
瑞士,4556,29705,179,23400,1749,5.9%,860,345,29.365833530360504,0.16405528916503456
葡萄牙,22697,25351,540,1647,1007,4%,1030,246,0.7206023448059031,0.26938128095426994
厄瓜多尔,22476,24934,259,1558,900,3.6%,1710,146,0.7702042672678017,0.2570135572938049
沙特阿拉伯,20766,24097,1351,3163,168,0.7%,3410,71,9.066445609352284,0.02557744975104463
瑞典,17862,21520,790,1005,2653,12.3%,1010,213,0.2120795175374567,1.4778865720663283
爱尔兰,5994,20612,359,13386,1232,6%,480,429,18.126893126893126,0.15354764097231352
墨西哥,5942,19224,1047,11423,1859,9.7%,13230,15,10.341133376630362,0.2738839391540973
巴基斯坦,12890,17611,828,4315,406,2.3%,20460,9,8.245212426480984,0.07299486608768194
新加坡,15899,17101,528,1188,14,0.1%,590,290,53.372629006316664,0.007412108802133332
智利,7216,16023,1138,8580,227,1.4%,1830,88,52.37992908563447,0.03666418577726782
以色列,7023,16004,88,8758,223,1.4%,860,186,55.92131938045972,0.036255780073673693
奥地利,1862,15561,50,13110,589,3.8%,880,177,119.5384775302311,0.2412864459284858
白俄罗斯,11906,14917,846,2918,93,0.6%,940,159,26.353388279876953,0.026768977506805364
日本,10108,14566,184,3981,477,3.3%,12690,11,8.256739166685334,0.11853892057713394
卡塔尔,12648,14096,845,1436,12,0.1%,270,522,94.61311406282942,0.0066070097730888564
波兰,8963,13105,366,3491,651,5%,3800,34,5.982951245374181,0.20805480169868595
阿联酋,10384,13038,552,2543,111,0.9%,970,134,22.06270214744791,0.04203508589093479
罗马尼亚,7513,12567,262,4328,726,5.8%,1950,64,7.934822982679425,0.2232728827641454
乌克兰,9176,10861,540,1413,272,2.5%,4380,25,5.661348017847069,0.2097844711364333
韩国,1454,10774,9,9072,248,2.3%,5130,21,251.58628033899808,0.18801142139060523
印度尼西亚,8160,10551,347,1591,800,7.6%,26950,4,2.4371936274509807,0.616211286525924
丹麦,2355,9356,150,6558,443,4.7%,580,161,62.86034708343518,0.286841115274516
塞尔维亚,7641,9205,285,1379,185,2%,870,106,9.755338377246504,0.17557281104123315
菲律宾,7109,8772,276,1084,579,6.6%,10810,8,2.6335538570266936,0.7513473643668777
