地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比,万人确诊治愈死亡比,万人确诊死亡治愈比
美国,1104215,1902031,21365,688670,109146,5.7%,32910,578,6.309621974236344,0.05714124490462767,0.0014353010985288994
巴西,285862,584562,22030,266132,32568,5.6%,21240,275,8.171579464505035,0.28585749293382945,0.004280924453128329
俄罗斯,231101,441108,8536,204623,5384,1.2%,14390,307,38.00575780089153,1.6445518539898802,0.0011385412733405757
西班牙,63320,287406,394,196958,27128,9.4%,4640,619,7.260321439103509,1.1466079341603774,0.021752202869190614
英国,238210,279856,1871,1918,39728,14.2%,6700,418,0.04827829238824003,0.0020267114054086746,0.8695370875033853
意大利,39297,233836,321,160938,33601,14.4%,5920,395,4.7896788786048035,1.2188408475468364,0.05312931368232494
印度,107308,217554,15815,104155,6091,2.8%,136870,16,17.099819405680513,1.5935269882656014,0.005449747435119004
德国,6329,185022,162,169904,8789,4.8%,8240,225,19.331437023552166,30.5442202931777,0.0817336258337611
秘鲁,101701,178914,4030,72319,4894,2.7%,3290,544,14.777073968124233,1.4529920028440462,0.006654054130495678
土耳其,30961,166422,867,130852,4609,2.8%,8300,201,28.390540247342155,9.16977495796071,0.011376570534081226
伊朗,27478,160696,3134,125206,8012,5%,8280,194,15.627309036445332,5.687207597512677,0.02328791891119196
法国,53925,151677,352,68812,28940,19.1%,6550,232,2.3777470628887354,0.4409359411940168,0.07799094674406798
智利,67407,113628,4942,44946,1275,1.1%,1830,621,35.25176470588235,5.229689009432604,0.004208372154576254
墨西哥,16238,101238,3891,73271,11729,11.6%,13230,77,6.246994628698099,3.847145355769244,0.09858170619488266
加拿大,34539,93085,673,51048,7498,8.1%,3730,250,6.80821552413977,1.9711675277627523,0.04252623601058687
沙特阿拉伯,22444,91182,2171,68159,579,0.6%,3410,267,117.71848013816926,52.44986639554859,0.0037849059618476405
巴基斯坦,53366,85264,4065,30128,1770,2.1%,20460,42,17.021468926553673,3.1895718109945794,0.01100875766699641
卡塔尔,24573,62160,1901,37542,45,0.1%,270,2302,834.2666666666667,339.505419227065,0.00048779453204573006
比利时,33171,58767,70,16048,9548,16.2%,1160,507,1.6807708420611647,0.5066988761451764,0.1793630293587598
孟加拉国,44621,57563,2695,12161,781,1.4%,16470,35,15.571062740076824,3.489626574948303,0.014392705742820987
荷兰,40434,46733,86,322,5977,12.8%,1710,273,0.05387318052534716,0.01332373263227659,4.590718652926308
白俄罗斯,24697,45116,861,20171,248,0.5%,940,480,81.33467741935483,32.93301915996066,0.0049782883695900235
瑞典,31290,40803,2214,4971,4542,11.1%,1010,404,1.09445178335535,0.349776856297651,0.2920100533236588
南非,17051,37525,1713,19682,792,2.1%,5810,65,24.8510101010101,14.574517682839774,0.02359967921361292
新加坡,13316,36922,569,23582,24,0.1%,590,626,982.5833333333334,737.8967657955342,0.000764287611720697
阿联酋,16936,36359,571,19153,270,0.7%,970,375,70.93703703703704,41.88535488724436,0.008323694084536818
哥伦比亚,20021,33354,1521,12288,1045,3.1%,4980,67,11.758851674641148,5.873258915459342,0.0424765584677755
葡萄牙,11735,33261,366,20079,1447,4.4%,1030,323,13.87629578438148,11.82470880646057,0.061410602385596064
瑞士,373,30893,19,28600,1920,6.2%,860,359,14.895833333333334,399.35210008936554,1.7998087703181536
