地区,确诊,死亡,治愈
意大利,12598,827,1045
伊朗,10075,429,2959
韩国,7869,67,288
法国,2281,48,12
西班牙,2256,56,183
德国,2078,3,15
日本,1360,24,475
美国,1312,38,10
瑞士,645,3,3
挪威,629,0,0
丹麦,514,0,0
荷兰,503,5,0
瑞典,500,1,0
英国,456,6,8
比利时,314,3,0
卡塔尔,263,0,0
奥地利,246,1,4
巴林,189,0,14
新加坡,178,0,96
马来西亚,149,0,24
澳大利亚,144,3,22
加拿大,107,1,4
以色列,100,0,3
希腊,99,1,0
冰岛,90,0,0
阿联酋,74,0,12
印度,73,0,3
伊拉克,73,8,15
科威特,72,0,2
泰国,70,1,34
圣马力诺,69,3,0
埃及,67,1,1
芬兰,65,0,1
捷克,61,0,0
黎巴嫩,59,2,1
葡萄牙,59,0,0
斯洛文尼亚,57,0,0
菲律宾,52,1,0
巴西,52,0,0
沙特阿拉伯,45,0,0
爱尔兰,43,1,0
越南,39,0,16
印度尼西亚,34,1,0
罗马尼亚,31,0,6
波兰,31,1,0
巴勒斯坦,30,0,0
俄罗斯,28,0,3
格鲁吉亚,23,0,0
智利,23,0,0
阿尔及利亚,20,0,0
巴基斯坦,20,0,1
克罗地亚,19,0,0
阿根廷,19,1,0
阿曼,18,0,9
厄瓜多尔,17,0,0
阿尔巴尼亚,15,0,0
爱沙尼亚,13,0,0
阿塞拜疆,13,0,0
匈牙利,13,0,0
南非,13,0,1
哥斯达黎加,13,0,0
白俄罗斯,12,0,3
塞尔维亚,12,0,0
墨西哥,11,0,1
秘鲁,11,0,0
文莱,11,0,0
巴拿马,11,1,0
拉脱维亚,10,0,0
斯洛伐克,10,0,0
北马其顿,9,0,0
哥伦比亚,9,0,0
阿富汗,7,0,0
突尼斯,7,0,0
波黑,7,0,0
摩洛哥,6,2,0
马尔代夫,6,0,0
保加利亚,6,0,0
塞浦路斯,6,0,0
柬埔寨,5,0,1
新西兰,5,0,0
卢森堡,5,0,0
多米尼加,5,0,0
马耳他,5,0,0
法属圭亚那,5,0,0
塞内加尔,4,0,0
立陶宛,3,0,0
孟加拉国,3,0,0
古巴,3,0,0
斯里兰卡,2,0,1
尼日利亚,2,0,0
喀麦隆,2,0,0
圣马丁岛,2,0,0
马提尼克岛,2,0,0
布基纳法索,2,0,0
玻利维亚,2,0,0
洪都拉斯,2,0,0
尼泊尔,1,0,1
摩纳哥,1,0,0
亚美尼亚,1,0,0
安道尔,1,0,0
约旦,1,0,0
乌克兰,1,0,0
波斯尼亚,1,0,0
不丹,1,0,0
梵蒂冈,1,0,0
列支敦士登,1,0,0
直布罗陀,1,0,0
圣巴托洛谬岛,1,0,0
巴拉圭,1,0,0
摩尔多瓦,1,0,0
多哥共和国,1,0,0
法罗群岛,1,0,0
蒙古,1,0,0
刚果共和国,1,0,0
土耳其,1,0,0
牙买加,1,0,0
科特迪瓦,1,0,0
圭亚那,1,0,0
