地区,确诊,死亡,治愈
意大利,15385,1016,1258
伊朗,11364,514,3529
韩国,7979,68,510
西班牙,4209,86,189
德国,3117,7,15
法国,2876,61,12
美国,1658,41,10
日本,1408,26,511
瑞士,1009,4,3
荷兰,804,10,0
英国,798,10,8
丹麦,785,0,0
挪威,703,0,0
瑞典,683,1,0
比利时,556,3,0
奥地利,361,1,4
卡塔尔,263,0,0
巴林,189,0,14
新加坡,187,0,96
马来西亚,158,0,32
澳大利亚,155,3,22
芬兰,155,0,1
加拿大,138,1,4
以色列,126,0,3
希腊,117,1,0
冰岛,109,0,0
捷克,96,0,0
斯洛文尼亚,89,0,0
阿联酋,85,0,20
伊拉克,83,8,24
埃及,80,1,20
黎巴嫩,77,3,1
印度,74,1,3
科威特,72,0,5
泰国,70,1,35
爱尔兰,70,1,0
印度尼西亚,69,1,0
圣马力诺,69,3,0
沙特阿拉伯,62,0,0
葡萄牙,59,0,0
菲律宾,52,1,0
巴西,52,0,0
波兰,47,1,0
越南,44,0,16
文莱,36,0,0
俄罗斯,35,0,8
智利,33,0,0
阿尔巴尼亚,33,0,0
克罗地亚,31,0,0
罗马尼亚,31,0,6
阿根廷,31,1,0
巴勒斯坦,31,0,0
阿尔及利亚,26,2,10
格鲁吉亚,25,0,0
塞尔维亚,24,0,0
保加利亚,23,0,0
巴基斯坦,21,0,1
阿曼,19,0,9
阿塞拜疆,19,0,0
爱沙尼亚,17,0,0
厄瓜多尔,17,0,0
拉脱维亚,16,0,0
匈牙利,16,0,0
斯洛伐克,16,0,0
突尼斯,13,0,0
南非,13,0,1
哥斯达黎加,13,0,0
白俄罗斯,12,0,3
墨西哥,11,0,1
波黑,11,0,0
秘鲁,11,0,0
巴拿马,11,1,0
塞内加尔,10,0,2
塞浦路斯,10,0,0
北马其顿,9,0,0
哥伦比亚,9,0,0
阿富汗,7,0,0
摩洛哥,6,2,0
马尔代夫,6,0,0
柬埔寨,5,0,1
新西兰,5,0,0
卢森堡,5,0,0
多米尼加,5,0,0
马耳他,5,0,0
法属圭亚那,5,0,0
斯里兰卡,3,0,1
立陶宛,3,0,0
乌克兰,3,0,0
孟加拉国,3,0,0
古巴,3,0,0
哈萨克斯坦,3,0,0
尼日利亚,2,0,0
喀麦隆,2,0,0
圣马丁岛,2,0,0
马提尼克岛,2,0,0
布基纳法索,2,0,0
刚果共和国,2,0,0
土耳其,2,0,0
玻利维亚,2,0,0
洪都拉斯,2,0,0
尼泊尔,1,0,1
摩纳哥,1,0,0
亚美尼亚,1,0,0
安道尔,1,0,0
约旦,1,0,0
波斯尼亚,1,0,0
不丹,1,0,0
梵蒂冈,1,0,0
列支敦士登,1,0,0
直布罗陀,1,0,0
圣巴托洛谬岛,1,0,0
巴拉圭,1,0,0
摩尔多瓦,1,0,0
多哥共和国,1,0,0
法罗群岛,1,0,0
蒙古,1,0,0
牙买加,1,0,0
科特迪瓦,1,0,0
圭亚那,1,0,0
加蓬,1,0,0
加纳,1,0,0
肯尼亚,1,0,0
埃塞俄比亚,1,0,0
