地区,确诊,死亡,治愈
美国,337971,9654,17582
西班牙,135032,13055,38080
意大利,128948,15887,21815
德国,100186,1590,28700
法国,93780,8093,16354
伊朗,60500,3739,24236
英国,48451,4943,229
土耳其,27069,574,1042
瑞士,21652,715,6415
比利时,20814,1632,3751
荷兰,18917,1874,260
加拿大,15940,281,3080
奥地利,12206,220,3463
葡萄牙,11730,311,75
巴西,11298,489,127
韩国,10284,186,6598
以色列,8611,51,585
瑞典,7206,477,205
俄罗斯,6343,45,355
澳大利亚,5797,40,1080
挪威,5760,73,32
爱尔兰,4994,158,25
丹麦,4841,187,1488
日本,4712,106,1133
捷克,4591,72,96
智利,4471,34,598
印度,4314,118,328
波兰,4201,98,162
罗马尼亚,4057,162,406
马来西亚,3793,62,1241
菲律宾,3660,163,73
厄瓜多尔,3646,180,100
巴基斯坦,3277,50,257
卢森堡,2804,36,241
沙特阿拉伯,2643,38,551
印度尼西亚,2491,209,164
秘鲁,2281,83,989
泰国,2220,26,793
塞尔维亚,2200,58,0
芬兰,2176,28,300
墨西哥,2143,94,633
阿联酋,2076,11,167
巴拿马,1988,54,13
希腊,1735,73,78
南非,1655,11,95
卡塔尔,1604,4,123
多米尼加,1578,77,17
阿根廷,1554,46,280
冰岛,1486,4,428
哥伦比亚,1485,35,88
乌克兰,1319,38,28
新加坡,1309,6,320
阿尔及利亚,1251,130,62
克罗地亚,1182,15,119
埃及,1173,78,216
摩洛哥,1113,71,76
新西兰,1106,1,180
爱沙尼亚,1097,15,62
斯洛文尼亚,997,28,79
伊拉克,961,61,279
摩尔多瓦,864,15,30
亚美尼亚,833,8,62
立陶宛,811,12,7
白俄罗斯,700,13,53
巴林,688,4,399
匈牙利,678,32,58
科威特,665,1,103
喀麦隆,658,9,17
阿塞拜疆,641,7,44
哈萨克斯坦,629,6,45
波黑,624,21,30
突尼斯,574,22,5
北马其顿,555,18,23
黎巴嫩,541,19,55
斯洛伐克,534,1,8
拉脱维亚,533,1,1
保加利亚,531,20,37
安道尔,526,21,31
塞浦路斯,446,11,37
哥斯达黎加,416,2,11
乌兹别克斯坦,390,2,30
乌拉圭,386,4,68
阿富汗,367,7,10
布基纳法索,345,17,90
约旦,345,5,110
阿尔巴尼亚,333,18,99
阿曼,331,2,61
波多黎各,316,12,0
古巴,269,6,15
洪都拉斯,264,15,3
科特迪瓦,261,3,37
圣马力诺,251,32,26
越南,245,0,95
马耳他,241,0,2
巴勒斯坦,234,1,21
尼日利亚,232,5,33
塞内加尔,226,2,92
吉尔吉斯斯坦,216,4,16
黑山,214,2,1
加纳,205,5,3
毛里求斯,196,7,0
格鲁吉亚,188,2,36
尼日尔,184,10,13
斯里兰卡,162,5,25
刚果（金）,161,18,3
法罗群岛,159,0,0
肯尼亚,158,6,4
委内瑞拉,153,3,39
玻利维亚,139,10,1
文莱,135,1,66
孟加拉国,123,13,33
几内亚,121,0,5
柬埔寨,114,0,50
卢旺达,104,0,4
特立尼达和多巴哥,100,6,1
巴拉圭,96,3,12
科索沃,94,1,1
马提尼克岛,91,1,0
列支敦士登,75,0,0
摩纳哥,73,1,4
瓜德罗普,73,1,0
马达加斯加,72,0,2
吉布提,59,0,9
萨尔瓦多,56,3,0
牙买加,53,3,7
多哥共和国,52,3,22
乌干达,52,0,0
巴巴多斯,51,0,0
危地马拉,50,1,12
刚果（布）,49,5,2
马里,47,5,1
法属留尼汪岛,47,0,0
埃塞俄比亚,43,1,4
赞比亚,39,1,5
关岛,37,1,0
马约特岛,30,0,0
厄立特里亚,29,0,0
法属波利尼西亚,25,0,0
巴哈马,24,3,1
加蓬,24,1,1
圭亚那,23,4,0
法属圭亚那,23,1,0
坦桑尼亚,22,1,3
贝宁,22,0,5
缅甸,21,1,1
美属维尔京群岛,19,0,0
阿鲁巴,19,0,0
利比亚,18,1,0
泽西岛,18,0,0
马尔代夫,18,0,13
海地,18,0,1
叙利亚,16,2,0
赤道几内亚,16,0,1
蒙古,15,0,2
几内亚比绍,15,0,0
安哥拉,14,2,2
纳米比亚,14,0,3
多米尼克,14,0,0
圣卢西亚,13,0,1
苏丹,12,2,2
老挝,12,0,0
格林纳达,12,0,1
斐济,12,0,0
利比里亚,10,1,3
莫桑比克,10,0,0
塞舌尔,10,0,0
津巴布韦,9,1,0
斯威士兰,9,0,0
中非共和国,9,0,0
乍得,9,0,0
苏里南,9,0,0
圣基茨和尼维斯,9,0,0
尼泊尔,9,0,1
佛得角,7,1,0
荷属安的列斯,7,1,0
索马里,7,0,0
安提瓜和巴布达,7,0,0
圣文森特和格林纳丁斯,7,0,1
梵蒂冈,7,0,0
毛里塔尼亚,6,1,2
尼加拉瓜,5,1,0
开曼群岛,5,1,0
蒙特塞拉特,5,0,0
不丹,5,0,0
博茨瓦纳,4,1,0
冈比亚,4,1,0
塞拉利昂,4,0,0
伯利兹,4,0,0
马拉维,4,0,0
圣巴泰勒米,3,0,0
布隆迪,3,0,0
直布罗陀,3,0,0
圣马丁岛,2,0,0
波斯尼亚,1,0,0
南苏丹,1,0,0
萨尔多瓦,1,0,0
格陵兰,1,0,0
圣巴托洛谬岛,1,0,0
东帝汶,1,0,0
巴布亚新几内亚,1,0,0
格恩西岛,1,0,0
